[Class-Part, Value-Part, Line-Number]
<========================================>
[Capsol-Keyword, capsol, 1]
[Version-Keyword, version, 1]
[UnsignedPoint, 0.1, 1]
[Semi-Colon, ;, 1]
[UnsignedInteger-Keyword, uint, 4]
[Constant-Keyword, constant, 4]
[Identifier, my, 4]
[Equal, =, 4]
[UnSignedInteger, 3, 4]
[Semi-Colon, ;, 4]
[Class-Keyword, contract, 5]
[Identifier, conc, 5]
[Left-Curly-Brace, {, 5]
[Constructor-Keyword, constructor, 6]
[Right-Round-Bracket, (, 6]
[UnsignedInteger-Keyword, uint, 6]
[Identifier, _data, 6]
[Left-Round-Bracket, ), 6]
[AccessModifier-Keyword, public, 6]
[Left-Curly-Brace, {, 6]
[Identifier, data, 7]
[Equal, =, 7]
[Identifier, _data, 7]
[Semi-Colon, ;, 7]
[Right-Curly-Brace, }, 8]
[Right-Curly-Brace, }, 9]
[Class-Keyword, contract, 11]
[Identifier, conc1, 11]
[Left-Curly-Brace, {, 11]
[Right-Curly-Brace, }, 11]
[Abstract-Keyword, abstract, 13]
[Class-Keyword, contract, 13]
[Identifier, conc2, 13]
[Is-Keyword, is, 13]
[Identifier, conc, 13]
[Comma, ,, 13]
[Identifier, conc, 13]
[Left-Curly-Brace, {, 13]
[Right-Curly-Brace, }, 15]
[Interface-Keyword, interface, 17]
[Identifier, conc3, 17]
[Is-Keyword, is, 17]
[Identifier, conc2, 17]
[Left-Curly-Brace, {, 17]
[Right-Curly-Brace, }, 17]
[Enum-Keyword, enum, 19]
[Identifier, SomeEnum, 19]
[Left-Curly-Brace, {, 19]
[Identifier, firstItem, 20]
[Comma, ,, 20]
[Identifier, secondItem, 21]
[Right-Curly-Brace, }, 22]
[Struct-Keyword, struct, 24]
[Identifier, Book, 24]
[Left-Curly-Brace, {, 24]
[String-Keyword, string, 26]
[Identifier, name, 26]
[Semi-Colon, ;, 26]
[String-Keyword, string, 27]
[Identifier, writter, 27]
[Semi-Colon, ;, 27]
[UnsignedInteger-Keyword, uint, 28]
[Identifier, id, 28]
[Semi-Colon, ;, 28]
[UnsignedInteger-Keyword, uint, 29]
[Right-Square-Bracket, [, 29]
[Identifier, g, 29]
[Right-Square-Bracket, ], 29]
[Identifier, payments, 29]
[Semi-Colon, ;, 29]
[UnsignedInteger-Keyword, uint, 30]
[Right-Square-Bracket, [, 30]
[UnSignedInteger, 5, 30]
[Right-Square-Bracket, ], 30]
[Identifier, Payments, 30]
[Semi-Colon, ;, 30]
[Right-Curly-Brace, }, 31]
[End-Marker, <END-MARKER>, 33]
